x,y,type,code,lon,lat
620 ,567 ,sagami,N.ST1H,139.91831,34.59556
619 ,561 ,sagami,N.ST2H,139.83931,34.73964
612 ,559 ,sagami,N.ST3H,139.6435,34.79833
608 ,556 ,sagami,N.ST4H,139.57111,34.89314
604 ,552 ,sagami,N.ST5H,139.42133,34.94131
602 ,547 ,sagami,N.ST6H,139.37783,35.09661
656 ,514 ,S-net,N.S1N01,141.0535,35.8968
666 ,515 ,S-net,N.S1N02,141.3772,35.8424
674 ,521 ,S-net,N.S1N03,141.6451,35.7203
682 ,525 ,S-net,N.S1N04,141.9041,35.6036
687 ,533 ,S-net,N.S1N05,142.0531,35.4047
682 ,539 ,S-net,N.S1N06,141.8692,35.2277
673 ,538 ,S-net,N.S1N07,141.5902,35.2773
666 ,531 ,S-net,N.S1N08,141.3898,35.4536
663 ,540 ,S-net,N.S1N09,141.3068,35.227
660 ,546 ,S-net,N.S1N10,141.2021,35.0925
652 ,545 ,S-net,N.S1N11,140.9682,35.1203
648 ,547 ,S-net,N.S1N12,140.8091,35.0228
652 ,553 ,S-net,N.S1N13,140.9627,34.8788
657 ,563 ,S-net,N.S1N14,141.0907,34.6407
665 ,568 ,S-net,N.S1N15,141.3512,34.5256
671 ,574 ,S-net,N.S1N16,141.5402,34.3686
665 ,580 ,S-net,N.S1N17,141.3341,34.1956
656 ,576 ,S-net,N.S1N18,141.0316,34.262
646 ,579 ,S-net,N.S1N19,140.7311,34.2269
635 ,577 ,S-net,N.S1N20,140.4159,34.2592
629 ,571 ,S-net,N.S1N21,140.203,34.4231
626 ,563 ,S-net,N.S1N22,140.0906,34.6443
666 ,436 ,S-net,N.S2N01,141.3845,37.8428
674 ,441 ,S-net,N.S2N02,141.6387,37.6922
685 ,441 ,S-net,N.S2N03,141.965,37.7073
695 ,443 ,S-net,N.S2N04,142.2975,37.6739
705 ,447 ,S-net,N.S2N05,142.6236,37.6016
714 ,449 ,S-net,N.S2N06,142.935,37.5259
725 ,453 ,S-net,N.S2N07,143.2266,37.429
719 ,461 ,S-net,N.S2N08,143.07,37.222
712 ,468 ,S-net,N.S2N09,142.8188,37.0741
700 ,466 ,S-net,N.S2N10,142.4979,37.0948
692 ,462 ,S-net,N.S2N11,142.1998,37.1931
682 ,460 ,S-net,N.S2N12,141.879,37.2772
674 ,458 ,S-net,N.S2N13A,141.5709,37.3003
667 ,466 ,S-net,N.S2N14,141.3703,37.0952
665 ,478 ,S-net,N.S2N15,141.3307,36.8344
671 ,483 ,S-net,N.S2N16,141.5207,36.662
681 ,486 ,S-net,N.S2N17,141.8389,36.6337
690 ,483 ,S-net,N.S2N18,142.1445,36.6824
699 ,486 ,S-net,N.S2N19,142.4389,36.5986
706 ,495 ,S-net,N.S2N20,142.6164,36.3885
703 ,503 ,S-net,N.S2N21,142.5553,36.1577
699 ,513 ,S-net,N.S2N22,142.4014,35.9463
690 ,512 ,S-net,N.S2N23,142.1138,35.9677
678 ,510 ,S-net,N.S2N24,141.7944,35.9976
669 ,507 ,S-net,N.S2N25,141.5095,36.0729
660 ,504 ,S-net,N.S2N26,141.2021,36.1442
701 ,370 ,S-net,N.S3N01,142.4578,39.4497
710 ,374 ,S-net,N.S3N02,142.7918,39.3746
721 ,375 ,S-net,N.S3N03,143.1206,39.3231
732 ,377 ,S-net,N.S3N04,143.4544,39.2958
742 ,381 ,S-net,N.S3N05,143.7499,39.1906
748 ,388 ,S-net,N.S3N06,143.9305,39.0459
743 ,395 ,S-net,N.S3N07,143.7846,38.8308
732 ,397 ,S-net,N.S3N08,143.4769,38.7826
722 ,399 ,S-net,N.S3N09,143.1437,38.7739
711 ,393 ,S-net,N.S3N10,142.8212,38.8668
701 ,393 ,S-net,N.S3N11,142.4873,38.9349
692 ,396 ,S-net,N.S3N12,142.1816,38.8412
691 ,406 ,S-net,N.S3N13,142.1816,38.5901
703 ,409 ,S-net,N.S3N14,142.5002,38.4993
712 ,412 ,S-net,N.S3N15,142.8376,38.4487
723 ,412 ,S-net,N.S3N16,143.1703,38.4262
733 ,413 ,S-net,N.S3N17,143.5139,38.3978
743 ,418 ,S-net,N.S3N18,143.781,38.3063
741 ,427 ,S-net,N.S3N19,143.7441,38.0594
735 ,433 ,S-net,N.S3N20,143.5675,37.9311
726 ,432 ,S-net,N.S3N21,143.2454,37.9713
715 ,431 ,S-net,N.S3N22,142.9072,37.9838
704 ,428 ,S-net,N.S3N23,142.5735,38.027
692 ,427 ,S-net,N.S3N24,142.234,38.0569
